"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Daily exchange rates"

"DESCRIPTION"
"Daily average exchange rates - published once each business day by 16:30 ET. All Bank of Canada exchange rates are indicative rates only."

"SERIES"
"id","label","description"
"FXAUDCAD","AUD/CAD","Australian dollar to Canadian dollar daily exchange rate"
"FXBRLCAD","BRL/CAD","Brazilian real to Canadian dollar daily exchange rate"
"FXCNYCAD","CNY/CAD","Chinese renminbi to Canadian dollar daily exchange rate"
"FXEURCAD","EUR/CAD","European euro to Canadian dollar daily exchange rate"
"FXHKDCAD","HKD/CAD","Hong Kong dollar to Canadian dollar daily exchange rate"
"FXINRCAD","INR/CAD","Indian rupee to Canadian dollar daily exchange rate"
"FXIDRCAD","IDR/CAD","Indonesian rupiah to Canadian dollar daily exchange rate"
"FXJPYCAD","JPY/CAD","Japanese yen to Canadian dollar daily exchange rate"
"FXMYRCAD","MYR/CAD","Malaysian ringgit to Canadian dollar daily exchange rate"
"FXMXNCAD","MXN/CAD","Mexican peso to Canadian dollar daily exchange rate"
"FXNZDCAD","NZD/CAD","New Zealand dollar to Canadian dollar daily exchange rate"
"FXNOKCAD","NOK/CAD","Norwegian krone to Canadian dollar daily exchange rate"
"FXPENCAD","PEN/CAD","Peruvian new sol to Canadian dollar daily exchange rate"
"FXRUBCAD","RUB/CAD","Russian ruble to Canadian dollar daily exchange rate"
"FXSARCAD","SAR/CAD","Saudi riyal to Canadian dollar daily exchange rate"
"FXSGDCAD","SGD/CAD","Singapore dollar to Canadian dollar daily exchange rate"
"FXZARCAD","ZAR/CAD","South African rand to Canadian dollar daily exchange rate"
"FXKRWCAD","KRW/CAD","South Korean won to Canadian dollar daily exchange rate"
"FXSEKCAD","SEK/CAD","Swedish krona to Canadian dollar daily exchange rate"
"FXCHFCAD","CHF/CAD","Swiss franc to Canadian dollar daily exchange rate"
"FXTWDCAD","TWD/CAD","Taiwanese dollar to Canadian dollar daily exchange rate"
"FXTHBCAD","THB/CAD","Thai baht to Canadian dollar daily exchange rate"
"FXTRYCAD","TRY/CAD","Turkish lira to Canadian dollar daily exchange rate"
"FXGBPCAD","GBP/CAD","UK pound sterling to Canadian dollar daily exchange rate"
"FXUSDCAD","USD/CAD","US dollar to Canadian dollar daily exchange rate"
"FXVNDCAD","VND/CAD","Vietnamese dong to Canadian dollar daily exchange rate"

"OBSERVATIONS"
"date","FXAUDCAD","FXBRLCAD","FXCNYCAD","FXEURCAD","FXHKDCAD","FXINRCAD","FXIDRCAD","FXJPYCAD","FXMYRCAD","FXMXNCAD","FXNZDCAD","FXNOKCAD","FXPENCAD","FXRUBCAD","FXSARCAD","FXSGDCAD","FXZARCAD","FXKRWCAD","FXSEKCAD","FXCHFCAD","FXTWDCAD","FXTHBCAD","FXTRYCAD","FXGBPCAD","FXUSDCAD","FXVNDCAD","FXCADCAD"
"2019-12-31","0.9122","0.3231","0.1865","1.4583","0.1668","0.01820","0.000094","0.01196","0.3175","0.06882","0.8763","0.1480","0.3919","0.02090","0.3462","0.9657","0.09271","0.001125","0.1394","1.3437","0.04341","0.04362","0.2183","1.7174","1.2988","0.000056", "1.00000"
